MNTH,BRAND_NAME,RESTAURANT_ID,BRAND,CITY_CLASSIFICATION,ORDERS,FULFILLED_GMV,FREEBIE_BURN,S_BURN,R_BURN,REST_EO_BURN,REST_TD,TOTAL_DISCOUNT,Final R Burn,,,,
2025-07,Wow_Momo,41471,Wow_Momo,India_1,397,243501.7107,0,1517.85,2951.02,,122001,132168,124952.02,,,,
2025-07,Wow_Momo,218946,Wow_Momo,India_1,255,145820.8796,0,1836.84,3388.03,,62666.2,70859,66054.23,,,,
2025-07,Wow_Momo,642657,Wow_Momo,India_1,170,72135.12511,0,769.69,1372.25,,28682.4,32822,30054.65,,,,
2025-07,Wow_Momo,169703,Wow_Momo,India_2,396,170518.2105,0,735.59,1337.51,,68786.5,78357,70124.01,,,,
2025-07,Wow_Momo,151217,Wow_Momo,India_1,766,377526.71,0,2930.42,5138.94,,146741.2,163995,151880.14,,,,
2025-07,Wow_Momo,648919,Wow_Momo,India_1,400,191839.0113,0,883.18,1654.18,,87465.2,96757,89119.38,,,,
2025-07,Wow_Momo,1018997,Wow_Momo,India_1,248,117089.7612,0,1141,2128.96,,48288.8,53978,50417.76,,,,
2025-07,Wow_Momo,15684,Wow_Momo,India_1,266,137051.4768,0,2099.44,3748.84,,55886.9,66558,59635.74,,,,
2025-07,Wow_Momo,32288,Wow_Momo,India_1,149,81746.71431,0,291.23,483.73,,35511.2,37873,35994.93,,,,
2025-07,Wow_Momo,523239,Wow_Momo,India_1,116,58830.12655,0,565,909.98,,26215,28569,27124.98,,,,
2025-07,Wow_Momo,58573,Wow_Momo,India_1,748,435494.718,0,4102.39,7220.01,,199994,217945,207214.01,,,,
2025-07,Wow_Momo,750674,Wow_Momo,India_1,221,106960.8766,0,1671.13,2996.32,,42616,48809,45612.32,,,,
2025-07,Wow_Momo,952687,Wow_Momo,India_2,1224,580494.5609,0,1805.24,3434.58,,277480.6,301042,280915.18,,,,
2025-07,Wow_Momo,302061,Wow_Momo,India_1,347,191482.657,0,1710.34,2926.31,,87293.8,96960,90220.11,,,,
2025-07,Wow_Momo,32285,Wow_Momo,India_1,487,239034.4106,0,3611.24,6413.55,,92041,104905,98454.55,,,,
2025-07,Wow_Momo,704796,Wow_Momo,India_1,401,239148.5431,0,1653.88,2949.93,,108883,115392,111832.93,,,,
2025-07,Wow_Momo,21402,Wow_Momo,India_1,265,129216.1964,0,1029.65,1857.93,,52357.8,56466,54215.73,,,,
2025-07,Wow_Momo,98067,Wow_Momo,India_1,491,285218.2122,0,2063.24,3596.63,,127764.2,136216,131360.83,,,,
2025-07,Wow_Momo,333179,Wow_Momo,India_1,374,185160.9384,0,1391.23,2458.68,,76383,81863,78841.68,,,,
2025-07,Wow_Momo,410276,Wow_Momo,India_1,952,509501.4956,0,4430.46,7742.82,,202144.6,219428,209887.42,,,,
2025-07,Wow_Momo,646876,Wow_Momo,India_2,255,134302.0038,0,518.65,963.19,,57887.6,62428,58850.79,,,,
2025-07,Wow_Momo,675348,Wow_Momo,India_1,371,198263.2548,0,1346.14,2332.11,,82088.9,87928,84421.01,,,,
2025-07,Wow_Momo,13918,Wow_Momo,India_1,407,217782.6291,0,1490.8,2615.05,,92389.6,102802,95004.65,,,,
2025-07,Wow_Momo,1125579,Wow_Momo,India_2,133,54166.91839,0,2852.89,5212.39,,11916,23296,17128.39,,,,
2025-07,Wow_Momo,610739,Wow_Momo,India_2,55,27139.36747,0,215.72,400.62,,11787,13388,12187.62,,,,
2025-07,Wow_Momo,299135,Wow_Momo,India_1,628,332304.2748,0,2051.78,3643.25,,139772,153997,143415.25,,,,
2025-07,Wow_Momo,393713,Wow_Momo,India_1,499,263329.3078,0,3276.24,5927.88,,112482,123706,118409.88,,,,
2025-07,Wow_Momo,244438,Wow_Momo,India_1,560,286648.9577,0,2167.63,3989.83,,123269,132736,127258.83,,,,
2025-07,Wow_Momo,992789,Wow_Momo,India_1,494,255168.3598,0,1428.82,2725.98,,110512,117058,113237.98,,,,
2025-07,Wow_Momo,659629,Wow_Momo,India_1,455,199581.2797,0,2223.8,4101.25,,71250.2,82146,75351.45,,,,
2025-07,Wow_Momo,806604,Wow_Momo,India_1,385,200815.7244,0,1873.06,3392.79,,80225.5,87884,83618.29,,,,
2025-07,Wow_Momo,407377,Wow_Momo,India_1,438,254405.8078,0,2293.8,4038.4,,113447.4,120910,117485.8,,,,
2025-07,Wow_Momo,480170,Wow_Momo,India_1,213,116035.0932,0,975.15,1696.66,,56773,62144,58469.66,,,,
2025-07,Wow_Momo,14122,Wow_Momo,India_1,541,299390.6431,0,1685.64,3091.57,,133476.1,144095,136567.67,,,,
2025-07,Wow_Momo,864541,Wow_Momo,India_1,724,380916.046,0,2341.21,4281.41,,156306.3,169209,160587.71,,,,
2025-07,Wow_Momo,96881,Wow_Momo,India_1,933,487210.4565,0,4114.28,7162.79,,200701.1,220585,207863.89,,,,
2025-07,Wow_Momo,262891,Wow_Momo,India_1,319,134061.5824,0,2402.89,4458.87,,44508.7,54115,48967.57,,,,
2025-07,Wow_Momo,671902,Wow_Momo,India_2,404,205404.369,0,969.49,1927.06,,85017.9,93628,86944.96,,,,
2025-07,Wow_Momo,602944,Wow_Momo,India_2,134,65545.20417,0,307.5,592.46,,25700,28225,26292.46,,,,
2025-07,Wow_Momo,21742,Wow_Momo,India_1,759,384538.5121,0,4192.02,7356.47,,157852.9,175818,165209.37,,,,
2025-07,Wow_Momo,94959,Wow_Momo,India_1,278,144840.2572,0,1050.81,1908.6,,58504.6,63064,60413.2,,,,
2025-07,Wow_Momo,259465,Wow_Momo,India_1,397,223611.8997,0,1171.83,2088.38,,102936.4,108883,105024.78,,,,
2025-07,Wow_Momo,699423,Wow_Momo,India_1,886,463501.9879,0,2755.63,4777.46,,194961.9,208393,199739.36,,,,
2025-07,Wow_Momo,66799,Wow_Momo,India_1,273,120450.5514,0,1850.13,3400.2,,42157.5,49978,45557.7,,,,
2025-07,Wow_Momo,427064,Wow_Momo,India_1,98,52939.51464,0,287.5,512.48,,20844.8,22556,21357.28,,,,
2025-07,Wow_Momo,881803,Wow_Momo,India_1,179,82592.50214,0,1510.84,2684.32,,31266,36716,33950.32,,,,
2025-07,Wow_Momo,926942,Wow_Momo,India_2,290,112455.6307,0,1358.56,2551.56,,51045.3,61494,53596.86,,,,
2025-07,Wow_Momo,932340,Wow_Momo,India_1,490,260041.6675,0,2050.71,3715.56,,112622.4,121334,116337.96,,,,
2025-07,Wow_Momo,564244,Wow_Momo,India_2,677,324030.5665,0,1078.4,2159.83,,141082.9,154980,143242.73,,,,
2025-07,Wow_Momo,613914,Wow_Momo,India_1,312,151661.4606,0,1064.86,1877.5,,65135.2,73562,67012.7,,,,
2025-07,Wow_Momo,333174,Wow_Momo,India_1,1279,674580.9032,0,4335,7814.9,,276526.1,298760,284341,,,,
2025-07,Wow_Momo,96094,Wow_Momo,India_1,235,118141.2566,0,922.42,1588.04,,47137,51253,48725.04,,,,
2025-07,Wow_Momo,602945,Wow_Momo,India_1,678,357271.5211,0,3818.38,6923.08,,162646.6,181673,169569.68,,,,
2025-07,Wow_Momo,466737,Wow_Momo,India_1,352,202111.7399,0,1433.48,2431.41,,93686.5,102609,96117.91,,,,
2025-07,Wow_Momo,217809,Wow_Momo,India_2,608,281820.0279,0,1792.71,3432.85,,102421.2,116937,105854.05,,,,
2025-07,Wow_Momo,581572,Wow_Momo,India_1,385,198348.7412,0,3357.57,5532.57,,79457.5,93211,84990.07,,,,
2025-07,Wow_Momo,1067072,Wow_Momo,India_2,799,351456.857,0,3231.53,6058.26,,136509.4,158409,142567.66,,,,
2025-07,Wow_Momo,355570,Wow_Momo,India_1,1007,564503.2097,0,3814.22,6683.25,,268945.5,286730,275628.75,,,,
2025-07,Wow_Momo,888354,Wow_Momo,India_2,649,301668.0939,0,2481.19,4507.84,,118701.4,134114,123209.24,,,,
2025-07,Wow_Momo,263416,Wow_Momo,India_1,718,348779.921,0,5138.99,8943.62,,141626,160423,150569.62,,,,
2025-07,Wow_Momo,753910,Wow_Momo,India_1,429,219261.8313,0,1770.31,3223.36,,91135,100321,94358.36,,,,
2025-07,Wow_Momo,523695,Wow_Momo,India_1,462,246197.4047,0,2094.11,3789.04,,117419.2,131079,121208.24,,,,
2025-07,Wow_Momo,1045926,Wow_Momo,India_1,315,154468.1444,0,2130.25,3952.51,,69025.8,78858,72978.31,,,,
